supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],Safaa Sweaters Ltd.,1,1,"Begumpur, BokranMonipur","Gazipur Sadar, Gazipur",Bangladesh,Dhaka,Bangladesh,Clothing,2247,66%,34%,0%,Yes,Main Production Site,[blank]
[blank],"Xinghua Kingtop
Headwear Co., Ltd.",1,1,"North of
Changhe Road","Hechen Town
Industrial park",Xinghua,Taizhou,China,Clothing,85,88%,12%,8%,Yes,"Main Production
Site",Guangzhou
[blank],"Shengzhou XingBaiLi Necktie and Garment Co.,
Ltd",1,1,Shaoxing Zhejiang,"East Area of ShengZhou
Economy",0,shaoxing,China,Clothing,499,60%,40%,52%,Yes,Main Production Site,Guangzhou
[blank],"TAIZHOU LINFENG SHOES CO., LTD.",1,1,"No.1-2,Building 13, Phase II",Fenghuangshan Shoe Industry Zo,0,Wenling City,China,Clothing,96,79%,21%,0%,Yes,Main Production Site,Guangzhou
[blank],Atd Triko Sanayi Ve Ticaret Limited Sirketi,1,1,MEHMET NEZIH OZMEN MAH.,"DEFNE SK NO:19/2
GUNGOREN",0,ISTANBUL,Turkey,Clothing,24,33%,67%,0%,Yes,Subcontractor/P rocessor,[blank]
[blank],"Gamma Giyim Ev Tekstili Gida ve Tarim Urunleri San.Tic.A.S. (Dazkiri
Branch)",1,1,"VEHBI KOC SANAYI BOLGESI,","92 SOK, NO:2 DAZKIRI",0,AFYON,Turkey,Clothing,579,66%,34%,0%,No,Main Production Site,[blank]
[blank],"Instyle Moda Tekstil San
Ve Tic Ltd Sti",1,1,"GÖZTEPE
MAHALLESI","2374 SOKAK
NO:3",0,Istanbul,Turkey,Clothing,75,45%,55%,0%,No,"Main Production
Site",[blank]
[blank],"Tera Giyim San ve Tic. A.S -
Fatsa Branch",1,1,"Fatsa OSB Mah.
101 Sok. No:13",Fatsa/Ordu,0,Ordu,Turkey,Clothing,385,56%,44%,0%,Yes,"Subcontractor/P
rocessor",[blank]
[blank],"Beshan Tekstil Ins. San.
Ve Dis. Tic. Ltd. Sti.",1,1,Saray mahallesi,guzelyali caddesi,"no:25
tatvan/bitlis",Bitlis,Turkey,Clothing,265,28%,72%,0%,No,"Main Production
Site",[blank]
[blank],Akkus Tekstil San.Tic. A.S.,1,1,"Cihangir Mah.
Sehit Piyade Er","Yavuz Bahar
Sok.No:19",Avcilar,Istanbul,Turkey,Clothing,111,27%,73%,0%,No,"Main Production
Site",[blank]
[blank],"Yancheng Qinda Garment Co., Ltd",1,1,"No.124-
1(18),Changting Road",Tinghu District,0,Yancheng City,China,Clothing,172,93%,7%,1%,Yes,Main Production Site,Guangzhou
[blank],YA Dilek Tekstil Sanayi Ve Ticaret Ltd. Sti.,1,1,Veysel Karani Mh. 6.Nazli Sk.,"No:48/49
Osmangazi/Burs a",0,Bursa,Turkey,Clothing,179,69%,33%,9%,No,Main Production Site,[blank]
[blank],Adesgo S.A. (Gibor),1,1,220,"Serban Voda Street4th
District",0,Bucharest,Romania,Clothing,116,75%,25%,0%,No,Main Production Site,[blank]
[blank],Gizeta Calze SRL,1,1,Via Francia 7/9,Castel Goffredo,0,Mantova,Italy,Clothing,60,43%,57%,2%,No,"Main Production
Site",[blank]
[blank],"Tonglu Wayland Knitting
Factory",1,1,"No.86 West
Yangtang Road",Jiuxian Industrial,"Development
Zone","Tonglu
Country",China,Clothing,18,67%,33%,17%,Yes,"Main Production
Site",Guangzhou
[blank],Strands International,1,1,194/2,N.S Palya,"Off Bannerghatta
Rd,",Bangalore,India,Clothing,410,79%,21%,0%,Yes,Main Production Site,[blank]
[blank],"Foshan Shunde Xileshun Shoes Co., Ltd",1,1,No 13 Xincheng Community,"South of Longsheng Rd
Leliu Town",Shunde District,Foshan,China,Clothing,230,40%,60%,93%,Yes,Main Production Site,Guangzhou
